"date","FXUSDCAD"
"2017-01-03","1.3435"
"2017-01-04","1.3315"
"2017-01-05","1.3244"
"2017-01-06","1.3214"
"2017-01-09","1.3240"
"2017-01-10","1.3213"
"2017-01-11","1.3250"
"2017-01-12","1.3106"
"2017-01-13","1.3141"
"2017-01-16","1.3152"
"2017-01-17","1.3057"
"2017-01-18","1.3099"
"2017-01-19","1.3303"
"2017-01-20","1.3356"
"2017-01-23","1.3291"
"2017-01-24","1.3174"
"2017-01-25","1.3088"
"2017-01-26","1.3103"
"2017-01-27","1.3123"
"2017-01-30","1.3114"
"2017-01-31","1.3030"
"2017-02-01","1.3074"
"2017-02-02","1.3016"
"2017-02-03","1.3016"
"2017-02-06","1.3099"
"2017-02-07","1.3167"
"2017-02-08","1.3157"
"2017-02-09","1.3127"
"2017-02-10","1.3084"
"2017-02-13","1.3082"
"2017-02-14","1.3070"
"2017-02-15","1.3088"
"2017-02-16","1.3055"
"2017-02-17","1.3102"
"2017-02-21","1.3148"
"2017-02-22","1.3181"
"2017-02-23","1.3110"
"2017-02-24","1.3095"
"2017-02-27","1.3118"
"2017-02-28","1.3249"
"2017-03-01","1.3338"
"2017-03-02","1.3387"
"2017-03-03","1.3405"
"2017-03-06","1.3404"
"2017-03-07","1.3417"
"2017-03-08","1.3475"
"2017-03-09","1.3513"
"2017-03-10","1.3464"
"2017-03-13","1.3447"
"2017-03-14","1.3484"
"2017-03-15","1.3428"
"2017-03-16","1.3319"
"2017-03-17","1.3337"
"2017-03-20","1.3358"
"2017-03-21","1.3317"
"2017-03-22","1.3360"
"2017-03-23","1.3336"
"2017-03-24","1.3374"
"2017-03-27","1.3373"
"2017-03-28","1.3374"
"2017-03-29","1.3364"
"2017-03-30","1.3304"
"2017-03-31","1.3310"
"2017-04-03","1.3384"
"2017-04-04","1.3425"
"2017-04-05","1.3409"
"2017-04-06","1.3418"
"2017-04-07","1.3395"
"2017-04-10","1.3349"
"2017-04-11","1.3332"
"2017-04-12","1.3300"
"2017-04-13","1.3275"
"2017-04-17","1.3289"
"2017-04-18","1.3377"
"2017-04-19","1.3460"
"2017-04-20","1.3482"
"2017-04-21","1.3506"
"2017-04-24","1.3492"
"2017-04-25","1.3592"
"2017-04-26","1.3593"
"2017-04-27","1.3624"
"2017-04-28","1.3662"
"2017-05-01","1.3660"
"2017-05-02","1.3720"
"2017-05-03","1.3714"
"2017-05-04","1.3743"
"2017-05-05","1.3712"
"2017-05-08","1.3705"
"2017-05-09","1.3728"
"2017-05-10","1.3672"
"2017-05-11","1.3707"
"2017-05-12","1.3714"
"2017-05-15","1.3641"
"2017-05-16","1.3596"
"2017-05-17","1.3614"
"2017-05-18","1.3611"
"2017-05-19","1.3544"
"2017-05-23","1.3490"
"2017-05-24","1.3460"
"2017-05-25","1.3453"
"2017-05-26","1.3456"
"2017-05-29","1.3446"
"2017-05-30","1.3469"
"2017-05-31","1.3500"
"2017-06-01","1.3500"
"2017-06-02","1.3504"
"2017-06-05","1.3483"
"2017-06-06","1.3461"
"2017-06-07","1.3492"
"2017-06-08","1.3503"
"2017-06-09","1.3453"
"2017-06-12","1.3415"
"2017-06-13","1.3238"
"2017-06-14","1.3209"
"2017-06-15","1.3283"
"2017-06-16","1.3232"
"2017-06-19","1.3220"
"2017-06-20","1.3267"
"2017-06-21","1.3310"
"2017-06-22","1.3241"
"2017-06-23","1.3268"
"2017-06-26","1.3238"
"2017-06-27","1.3188"
"2017-06-28","1.3060"
"2017-06-29","1.3015"
"2017-06-30","1.2977"
"2017-07-04","1.2941"
"2017-07-05","1.2982"
"2017-07-06","1.2946"
"2017-07-07","1.2887"
"2017-07-10","1.2888"
"2017-07-11","1.2920"
"2017-07-12","1.2794"
"2017-07-13","1.2743"
"2017-07-14","1.2672"
"2017-07-17","1.2669"
"2017-07-18","1.2628"
"2017-07-19","1.2595"
"2017-07-20","1.2585"
"2017-07-21","1.2549"
"2017-07-24","1.2512"
"2017-07-25","1.2507"
"2017-07-26","1.2505"
"2017-07-27","1.2520"
"2017-07-28","1.2447"
"2017-07-31","1.2485"
"2017-08-01","1.2514"
"2017-08-02","1.2560"
"2017-08-03","1.2578"
"2017-08-04","1.2638"
"2017-08-08","1.2672"
"2017-08-09","1.2705"
"2017-08-10","1.2711"
"2017-08-11","1.2685"
"2017-08-14","1.2705"
"2017-08-15","1.2755"
"2017-08-16","1.2699"
"2017-08-17","1.2647"
"2017-08-18","1.2586"
"2017-08-21","1.2575"
"2017-08-22","1.2552"
"2017-08-23","1.2564"
"2017-08-24","1.2529"
"2017-08-25","1.2492"
"2017-08-28","1.2482"
"2017-08-29","1.2515"
"2017-08-30","1.2605"
"2017-08-31","1.2536"
"2017-09-01","1.2390"
"2017-09-05","1.2371"
"2017-09-06","1.2264"
"2017-09-07","1.2148"
"2017-09-08","1.2132"
"2017-09-11","1.2128"
"2017-09-12","1.2159"
"2017-09-13","1.2187"
"2017-09-14","1.2198"
"2017-09-15","1.2182"
"2017-09-18","1.2238"
"2017-09-19","1.2277"
"2017-09-20","1.2273"
"2017-09-21","1.2339"
"2017-09-22","1.2317"
"2017-09-25","1.2341"
"2017-09-26","1.2370"
"2017-09-27","1.2412"
"2017-09-28","1.2450"
"2017-09-29","1.2480"
"2017-10-02","1.2505"
"2017-10-03","1.2500"
"2017-10-04","1.2479"
"2017-10-05","1.2548"
"2017-10-06","1.2549"
"2017-10-10","1.2501"
"2017-10-11","1.2498"
"2017-10-12","1.2472"
"2017-10-13","1.2487"
"2017-10-16","1.2529"
"2017-10-17","1.2548"
"2017-10-18","1.2486"
"2017-10-19","1.2478"
"2017-10-20","1.2601"
"2017-10-23","1.2644"
"2017-10-24","1.2666"
"2017-10-25","1.2771"
"2017-10-26","1.2831"
"2017-10-27","1.2874"
"2017-10-30","1.2837"
"2017-10-31","1.2893"
"2017-11-01","1.2885"
"2017-11-02","1.2822"
"2017-11-03","1.2764"
"2017-11-06","1.2746"
"2017-11-07","1.2785"
"2017-11-08","1.2729"
"2017-11-09","1.2692"
"2017-11-10","1.2683"
"2017-11-14","1.2733"
"2017-11-15","1.2773"
"2017-11-16","1.2745"
"2017-11-17","1.2783"
"2017-11-20","1.2793"
"2017-11-21","1.2778"
"2017-11-22","1.2729"
"2017-11-23","1.2715"
"2017-11-24","1.2708"
"2017-11-27","1.2735"
"2017-11-28","1.2807"
"2017-11-29","1.2853"
"2017-11-30","1.2888"
"2017-12-01","1.2729"
"2017-12-04","1.2695"
"2017-12-05","1.2680"
"2017-12-06","1.2757"
"2017-12-07","1.2843"
"2017-12-08","1.2860"
"2017-12-11","1.2854"
"2017-12-12","1.2871"
"2017-12-13","1.2852"
"2017-12-14","1.2805"
"2017-12-15","1.2834"
"2017-12-18","1.2865"
"2017-12-19","1.2886"
"2017-12-20","1.2842"
"2017-12-21","1.2734"
"2017-12-22","1.2759"
"2017-12-27","1.2641"
"2017-12-28","1.2588"
"2017-12-29","1.2545"
"2018-01-02","1.2517"
"2018-01-03","1.2533"
"2018-01-04","1.2515"
"2018-01-05","1.2403"
"2018-01-08","1.2422"
"2018-01-09","1.2454"
"2018-01-10","1.2496"
"2018-01-11","1.2535"
"2018-01-12","1.2504"
"2018-01-15","1.2422"
"2018-01-16","1.2419"
"2018-01-17","1.2425"
"2018-01-18","1.2446"
"2018-01-19","1.2459"
"2018-01-22","1.2458"
"2018-01-23","1.2454"
"2018-01-24","1.2341"
"2018-01-25","1.2323"
"2018-01-26","1.2321"
"2018-01-29","1.2335"
"2018-01-30","1.2328"
"2018-01-31","1.2293"
"2018-02-01","1.2288"
"2018-02-02","1.2380"
"2018-02-05","1.2483"
"2018-02-06","1.2530"
"2018-02-07","1.2546"
"2018-02-08","1.2585"
"2018-02-09","1.2609"
"2018-02-12","1.2603"
"2018-02-13","1.2600"
"2018-02-14","1.2562"
"2018-02-15","1.2507"
"2018-02-16","1.2540"
"2018-02-20","1.2622"
"2018-02-21","1.2671"
"2018-02-22","1.2709"
"2018-02-23","1.2668"
"2018-02-26","1.2686"
"2018-02-27","1.2740"
"2018-02-28","1.2809"
"2018-03-01","1.2851"
"2018-03-02","1.2891"
"2018-03-05","1.2977"
"2018-03-06","1.2898"
"2018-03-07","1.2947"
"2018-03-08","1.2927"
"2018-03-09","1.2840"
"2018-03-12","1.2830"
"2018-03-13","1.2912"
"2018-03-14","1.2944"
"2018-03-15","1.3032"
"2018-03-16","1.3088"
"2018-03-19","1.3079"
"2018-03-20","1.3077"
"2018-03-21","1.2958"
"2018-03-22","1.2908"
"2018-03-23","1.2856"
"2018-03-26","1.2886"
"2018-03-27","1.2869"
"2018-03-28","1.2902"
"2018-03-29","1.2894"
"2018-04-02","1.2908"
"2018-04-03","1.2812"
"2018-04-04","1.2809"
"2018-04-05","1.2776"
"2018-04-06","1.2764"
"2018-04-09","1.2729"
"2018-04-10","1.2618"
"2018-04-11","1.2584"
"2018-04-12","1.2596"
"2018-04-13","1.2597"
"2018-04-16","1.2579"
"2018-04-17","1.2552"
"2018-04-18","1.2614"
"2018-04-19","1.2633"
"2018-04-20","1.2728"
"2018-04-23","1.2833"
"2018-04-24","1.2828"
"2018-04-25","1.2869"
"2018-04-26","1.2862"
"2018-04-27","1.2857"
"2018-04-30","1.2836"
"2018-05-01","1.2867"
"2018-05-02","1.2851"
"2018-05-03","1.2862"
"2018-05-04","1.2861"
"2018-05-07","1.2864"
"2018-05-08","1.2963"
"2018-05-09","1.2856"
"2018-05-10","1.2775"
"2018-05-11","1.2779"
"2018-05-14","1.2775"
"2018-05-15","1.2876"
"2018-05-16","1.2809"
"2018-05-17","1.2801"
"2018-05-18","1.2880"
"2018-05-22","1.2786"
"2018-05-23","1.2876"
"2018-05-24","1.2891"
"2018-05-25","1.2974"
"2018-05-28","1.3001"
"2018-05-29","1.3020"
"2018-05-30","1.2897"
"2018-05-31","1.2948"
"2018-06-01","1.2964"
"2018-06-04","1.2928"
"2018-06-05","1.2993"
"2018-06-06","1.2913"
"2018-06-07","1.2972"
"2018-06-08","1.2962"
"2018-06-11","1.2993"
"2018-06-12","1.3004"
"2018-06-13","1.2988"
"2018-06-14","1.3052"
"2018-06-15","1.3177"
"2018-06-18","1.3208"
"2018-06-19","1.3276"
"2018-06-20","1.3301"
"2018-06-21","1.3310"
"2018-06-22","1.3308"
"2018-06-25","1.3303"
"2018-06-26","1.3306"
"2018-06-27","1.3307"
"2018-06-28","1.3267"
"2018-06-29","1.3168"
"2018-07-03","1.3154"
"2018-07-04","1.3143"
"2018-07-05","1.3129"
"2018-07-06","1.3105"
"2018-07-09","1.3097"
"2018-07-10","1.3125"
"2018-07-11","1.3151"
"2018-07-12","1.3166"
"2018-07-13","1.3171"
"2018-07-16","1.3137"
"2018-07-17","1.3187"
"2018-07-18","1.3204"
"2018-07-19","1.3255"
"2018-07-20","1.3142"
"2018-07-23","1.3156"
"2018-07-24","1.3157"
"2018-07-25","1.3088"
"2018-07-26","1.3065"
"2018-07-27","1.3062"
"2018-07-30","1.3021"
"2018-07-31","1.3017"
"2018-08-01","1.3002"
"2018-08-02","1.3014"
"2018-08-03","1.2983"
"2018-08-07","1.3023"
"2018-08-08","1.3052"
"2018-08-09","1.3040"
"2018-08-10","1.3113"
"2018-08-13","1.3136"
"2018-08-14","1.3087"
"2018-08-15","1.3138"
"2018-08-16","1.3152"
"2018-08-17","1.3081"
"2018-08-20","1.3065"
"2018-08-21","1.3036"
"2018-08-22","1.3016"
"2018-08-23","1.3063"
"2018-08-24","1.3036"
"2018-08-27","1.2986"
"2018-08-28","1.2917"
"2018-08-29","1.2931"
"2018-08-30","1.2980"
"2018-08-31","1.3055"
"2018-09-04","1.3182"
"2018-09-05","1.3185"
"2018-09-06","1.3188"
"2018-09-07","1.3164"
"2018-09-10","1.3163"
"2018-09-11","1.3141"
"2018-09-12","1.3014"
"2018-09-13","1.2997"
"2018-09-14","1.3033"
"2018-09-17","1.3019"
"2018-09-18","1.2992"
"2018-09-19","1.2947"
"2018-09-20","1.2905"
"2018-09-21","1.2916"
"2018-09-24","1.2935"
"2018-09-25","1.2948"
"2018-09-26","1.2975"
"2018-09-27","1.3045"
"2018-09-28","1.2945"
"2018-10-01","1.2803"
"2018-10-02","1.2817"
"2018-10-03","1.2832"
"2018-10-04","1.2900"
"2018-10-05","1.2936"
"2018-10-09","1.2965"
"2018-10-10","1.2992"
"2018-10-11","1.3038"
"2018-10-12","1.3031"
"2018-10-15","1.2993"
"2018-10-16","1.2938"
"2018-10-17","1.2994"
"2018-10-18","1.3057"
"2018-10-19","1.3104"
"2018-10-22","1.3105"
"2018-10-23","1.3098"
"2018-10-24","1.3029"
"2018-10-25","1.3076"
"2018-10-26","1.3108"
"2018-10-29","1.3119"
"2018-10-30","1.3133"
"2018-10-31","1.3142"
"2018-11-01","1.3088"
"2018-11-02","1.3105"
"2018-11-05","1.3096"
"2018-11-06","1.3130"
"2018-11-07","1.3096"
"2018-11-08","1.3114"
"2018-11-09","1.3206"
"2018-11-13","1.3241"
"2018-11-14","1.3235"
"2018-11-15","1.3202"
"2018-11-16","1.3154"
"2018-11-19","1.3182"
"2018-11-20","1.3259"
"2018-11-21","1.3270"
"2018-11-22","1.3205"
"2018-11-23","1.3228"
"2018-11-26","1.3230"
"2018-11-27","1.3289"
"2018-11-28","1.3302"
"2018-11-29","1.3275"
"2018-11-30","1.3301"
"2018-12-03","1.3191"
"2018-12-04","1.3219"
"2018-12-05","1.3353"
"2018-12-06","1.3404"
"2018-12-07","1.3299"
"2018-12-10","1.3379"
"2018-12-11","1.3402"
"2018-12-12","1.3346"
"2018-12-13","1.3359"
"2018-12-14","1.3379"
"2018-12-17","1.3399"
"2018-12-18","1.3454"
"2018-12-19","1.3450"
"2018-12-20","1.3495"
"2018-12-21","1.3566"
"2018-12-24","1.3589"
"2018-12-27","1.3641"
"2018-12-28","1.3638"
"2018-12-31","1.3642"
"2019-01-02","1.3600"
"2019-01-03","1.3501"
"2019-01-04","1.3410"
"2019-01-07","1.3313"
"2019-01-08","1.3293"
"2019-01-09","1.3221"
"2019-01-10","1.3234"
"2019-01-11","1.3259"
"2019-01-14","1.3269"
"2019-01-15","1.3266"
"2019-01-16","1.3248"
"2019-01-17","1.3294"
"2019-01-18","1.3260"
"2019-01-21","1.3297"
"2019-01-22","1.3340"
"2019-01-23","1.3348"
"2019-01-24","1.3351"
"2019-01-25","1.3256"
"2019-01-28","1.3260"
"2019-01-29","1.3266"
"2019-01-30","1.3192"
"2019-01-31","1.3144"
"2019-02-01","1.3095"
"2019-02-04","1.3127"
"2019-02-05","1.3134"
"2019-02-06","1.3190"
"2019-02-07","1.3285"
"2019-02-08","1.3270"
"2019-02-11","1.3294"
"2019-02-12","1.3248"
"2019-02-13","1.3240"
"2019-02-14","1.3298"
"2019-02-15","1.3266"
"2019-02-19","1.3238"
"2019-02-20","1.3169"
"2019-02-21","1.3196"
"2019-02-22","1.3173"
"2019-02-25","1.3174"
"2019-02-26","1.3195"
"2019-02-27","1.3145"
"2019-02-28","1.3169"
"2019-03-01","1.3260"
"2019-03-04","1.3317"
"2019-03-05","1.3345"
"2019-03-06","1.3420"
"2019-03-07","1.3438"
"2019-03-08","1.3422"
"2019-03-11","1.3414"
"2019-03-12","1.3378"
"2019-03-13","1.3326"
"2019-03-14","1.3327"
"2019-03-15","1.3342"
"2019-03-18","1.3345"
"2019-03-19","1.3292"
"2019-03-20","1.3317"
"2019-03-21","1.3366"
"2019-03-22","1.3411"
"2019-03-25","1.3420"
"2019-03-26","1.3386"
"2019-03-27","1.3414"
"2019-03-28","1.3429"
"2019-03-29","1.3363"
"2019-04-01","1.3337"
"2019-04-02","1.3344"
"2019-04-03","1.3324"
"2019-04-04","1.3357"
"2019-04-05","1.3386"
"2019-04-08","1.3325"
"2019-04-09","1.3316"
"2019-04-10","1.3326"
"2019-04-11","1.3378"
"2019-04-12","1.3329"
"2019-04-15","1.3354"
"2019-04-16","1.3361"
"2019-04-17","1.3332"
"2019-04-18","1.3382"
"2019-04-22","1.3353"
"2019-04-23","1.3421"
"2019-04-24","1.3475"
"2019-04-25","1.3493"
"2019-04-26","1.3460"
"2019-04-29","1.3456"
"2019-04-30","1.3423"
"2019-05-01","1.3416"
"2019-05-02","1.3462"
"2019-05-03","1.3429"
"2019-05-06","1.3456"
"2019-05-07","1.3476"
"2019-05-08","1.3466"
"2019-05-09","1.3483"
"2019-05-10","1.3418"
"2019-05-13","1.3457"
"2019-05-14","1.3469"
"2019-05-15","1.3451"
"2019-05-16","1.3439"
"2019-05-17","1.3468"
"2019-05-21","1.3413"
"2019-05-22","1.3410"
"2019-05-23","1.3478"
"2019-05-24","1.3447"
"2019-05-27","1.3442"
"2019-05-28","1.3477"
"2019-05-29","1.3514"
"2019-05-30","1.3501"
"2019-05-31","1.3527"
"2019-06-03","1.3470"
"2019-06-04","1.3414"
"2019-06-05","1.3401"
"2019-06-06","1.3378"
"2019-06-07","1.3283"
"2019-06-10","1.3267"
"2019-06-11","1.3278"
"2019-06-12","1.3303"
"2019-06-13","1.3324"
"2019-06-14","1.3385"
"2019-06-17","1.3407"
"2019-06-18","1.3394"
"2019-06-19","1.3343"
"2019-06-20","1.3191"
"2019-06-21","1.3212"
"2019-06-24","1.3194"
"2019-06-25","1.3174"
"2019-06-26","1.3130"
"2019-06-27","1.3111"
"2019-06-28","1.3087"
"2019-07-02","1.3114"
"2019-07-03","1.3073"
"2019-07-04","1.3059"
"2019-07-05","1.3099"
"2019-07-08","1.3081"
"2019-07-09","1.3127"
"2019-07-10","1.3092"
"2019-07-11","1.3071"
"2019-07-12","1.3038"
"2019-07-15","1.3039"
"2019-07-16","1.3052"
"2019-07-17","1.3053"
"2019-07-18","1.3069"
"2019-07-19","1.3071"
"2019-07-22","1.3103"
"2019-07-23","1.3142"
"2019-07-24","1.3137"
"2019-07-25","1.3146"
"2019-07-26","1.3182"
"2019-07-29","1.3159"
"2019-07-30","1.3168"
"2019-07-31","1.3148"
"2019-08-01","1.3217"
"2019-08-02","1.3225"
"2019-08-06","1.3253"
"2019-08-07","1.3322"
"2019-08-08","1.3257"
"2019-08-09","1.3221"
"2019-08-12","1.3234"
"2019-08-13","1.3236"
"2019-08-14","1.3311"
"2019-08-15","1.3325"
"2019-08-16","1.3286"
"2019-08-19","1.3298"
"2019-08-20","1.3323"
"2019-08-21","1.3278"
"2019-08-22","1.3293"
"2019-08-23","1.3310"
"2019-08-26","1.3279"
"2019-08-27","1.3267"
"2019-08-28","1.3301"
"2019-08-29","1.3296"
"2019-08-30","1.3295"
"2019-09-03","1.3343"
"2019-09-04","1.3263"
"2019-09-05","1.3228"
"2019-09-06","1.3174"
"2019-09-09","1.3155"
"2019-09-10","1.3153"
"2019-09-11","1.3181"
"2019-09-12","1.3205"
"2019-09-13","1.3257"
"2019-09-16","1.3248"
"2019-09-17","1.3257"
"2019-09-18","1.3271"
"2019-09-19","1.3259"
"2019-09-20","1.3275"
"2019-09-23","1.3270"
"2019-09-24","1.3249"
"2019-09-25","1.3270"
"2019-09-26","1.3260"
"2019-09-27","1.3249"
"2019-09-30","1.3243"
"2019-10-01","1.3244"
"2019-10-02","1.3294"
"2019-10-03","1.3330"
"2019-10-04","1.3317"
"2019-10-07","1.3306"
"2019-10-08","1.3323"
"2019-10-09","1.3324"
"2019-10-10","1.3294"
"2019-10-11","1.3198"
"2019-10-15","1.3211"
"2019-10-16","1.3201"
"2019-10-17","1.3143"
"2019-10-18","1.3132"
"2019-10-21","1.3096"
"2019-10-22","1.3094"
"2019-10-23","1.3086"
"2019-10-24","1.3075"
"2019-10-25","1.3064"
"2019-10-28","1.3056"
"2019-10-29","1.3075"
"2019-10-30","1.3152"
"2019-10-31","1.3160"
"2019-11-01","1.3157"
"2019-11-04","1.3148"
"2019-11-05","1.3153"
"2019-11-06","1.3179"
"2019-11-07","1.3176"
"2019-11-08","1.3223"
"2019-11-12","1.3228"
"2019-11-13","1.3249"
"2019-11-14","1.3258"
"2019-11-15","1.3231"
"2019-11-18","1.3214"
"2019-11-19","1.3237"
"2019-11-20","1.3304"
"2019-11-21","1.3285"
"2019-11-22","1.3287"
"2019-11-25","1.3307"
"2019-11-26","1.3288"
"2019-11-27","1.3278"
"2019-11-28","1.3285"
"2019-11-29","1.3289"
